"sp","site","mn.total.runsize","first.int","first.intlci","first.intuci","first.yr","first.yrlci","first.yruci","last.int","last.intlci","last.intuci","last.yr","last.yrlci","last.yruci","mid.int","mid.intlci","mid.intuci","mid.yr","mid.yrlci","mid.yruci","pk.int","pk.intlci","pk.intuci","pk.yr","pk.yrlci","pk.yruci","lat","lon"
"CH","BEAVER CR HATCHERY","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2259,-123.3287
"CH","MORSE CREEK HATCHERY","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.0402,-123.348
"CH","KALAMA FALLS HATCHERY","1.33333333333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.016,-122.7336
"CH","MODROW TRAP","8.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.0447,-122.8387
"CK","KENDALL CR HATCHERY","2352","3616.593","-162.657","7395.844","-1.718","-3.6","0.165","3913.747","620.338","7207.157","-1.814","-3.455","-0.174","3548.33","-297.933","7394.593","-1.658","-3.574","0.258","3060.229","621.291","5499.167","-1.409","-2.624","-0.194",48.8973,-122.142
"CK","WHATCOM CR HATCHERY","258.125","-1662.285","-4839.478","1514.907","0.958","-0.623","2.54","1337.281","-693.153","3367.716","-0.514","-1.525","0.497","-393.601","-4998.845","4211.644","0.334","-1.961","2.628","659.494","-2800.097","4119.085","-0.191","-1.913","1.532",48.7554,-122.4826
"CK","SOOS CREEK HATCHERY","10135.25","4091.3","-728.183","8910.782","-1.922","-4.322","0.478","-911.286","-2517.596","695.024","0.596","-0.204","1.396","283.929","-933.397","1501.256","-0.007","-0.614","0.6","-38.023","-1042.507","966.461","0.153","-0.348","0.653",47.3093,-122.1688
"CK","TUMWATER FALLS HATCHERY","9122.22727272727","1328.687","531.329","2126.045","-0.535","-0.932","-0.138","1129.558","181.661","2077.456","-0.416","-0.888","0.057","707.625","-553.192","1968.441","-0.219","-0.847","0.409","1433.819","598.406","2269.233","-0.582","-0.998","-0.165",47.0144,-122.9043
"CK","COULTER CR REARING POND","1365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.4073,-122.8177
"CK","ELWHA HATCHERY","794.272727272727","3568.839","391.673","6746.005","-1.669","-3.251","-0.086","-667.27","-1936.459","601.918","0.473","-0.159","1.105","546.725","-2614.055","3707.505","-0.143","-1.719","1.432","1060.637","-1056.859","3178.134","-0.4","-1.455","0.655",48.1152,-123.5493
"CK","MAYR BROTHERS REARIN","22.8333333333333","4376.691","-146.076","8899.458","-2.027","-4.275","0.221","3961.182","-713.581","8635.944","-1.818","-4.142","0.505","4376.691","-146.076","8899.458","-2.027","-4.275","0.221","2344.136","-357.049","5045.322","-1.017","-2.361","0.326",47.1865,-123.7225
