"Daily Test Fishing Data, SALMON GILL NET TEST, Albion Chinook Gillnet",,,,,,,,,,,1981
Date,Vessel,Set No,Location,Sockeye,Sock Jack,Coho,Pink,Chum,Chinook,Steelhead,Sturgeon
May 17 1982,1,1,Albion,0,0,0,0,0,3,0,0
May 17 1982,1,2,Albion,0,0,0,0,0,7,0,0
Daily total,,,,0,0,0,0,0,10,0,0
May 19 1982,1,1,Albion,0,0,0,0,0,15,0,1
May 19 1982,1,2,Albion,0,0,0,0,0,5,0,4
Daily total,,,,0,0,0,0,0,20,0,5
May 21 1982,1,1,Albion,0,0,0,0,0,1,0,0
May 21 1982,1,2,Albion,0,0,0,0,0,3,0,0
Daily total,,,,0,0,0,0,0,4,0,0
May 24 1982,1,1,Albion,0,0,0,0,0,6,0,0
May 24 1982,1,2,Albion,0,0,0,0,0,3,0,1
Daily total,,,,0,0,0,0,0,9,0,1
May 26 1982,1,1,Albion,0,0,0,0,0,10,0,3
May 26 1982,1,2,Albion,0,0,0,0,0,3,0,0
Daily total,,,,0,0,0,0,0,13,0,3
May 28 1982,1,1,Albion,0,0,0,0,0,13,0,0
May 28 1982,1,2,Albion,0,0,0,0,0,4,0,1
Daily total,,,,0,0,0,0,0,17,0,1
May 31 1982,1,1,Albion,0,0,0,0,0,10,0,0
May 31 1982,1,2,Albion,0,0,0,0,0,5,0,0
Daily total,,,,0,0,0,0,0,15,0,0
Jun 02 1982,1,1,Albion,0,0,0,0,0,12,0,0
Jun 02 1982,1,2,Albion,0,0,0,0,0,5,0,0
Daily total,,,,0,0,0,0,0,17,0,0
Jun 04 1982,1,1,Albion,0,0,0,0,0,3,0,0
Jun 04 1982,1,2,Albion,0,0,0,0,0,6,0,0
Daily total,,,,0,0,0,0,0,9,0,0
Jun 07 1982,1,1,Albion,0,0,0,0,0,4,0,0
Jun 07 1982,1,2,Albion,0,0,0,0,0,1,0,0
Daily total,,,,0,0,0,0,0,5,0,0
Jun 09 1982,1,1,Albion,0,0,0,0,0,6,0,0
Jun 09 1982,1,2,Albion,0,0,0,0,0,12,0,0
Daily total,,,,0,0,0,0,0,18,0,0
Jun 11 1982,1,1,Albion,0,0,0,0,0,11,0,0
Jun 11 1982,1,2,Albion,0,0,0,0,0,7,0,1
Daily total,,,,0,0,0,0,0,18,0,1
Jun 14 1982,1,1,Albion,0,0,0,0,0,19,0,1
Jun 14 1982,1,2,Albion,0,0,0,0,0,1,0,0
Daily total,,,,0,0,0,0,0,20,0,1
Jun 16 1982,1,1,Albion,0,0,0,0,0,9,0,0
Jun 16 1982,1,2,Albion,0,0,0,0,0,0,0,0
Daily total,,,,0,0,0,0,0,9,0,0
Jun 18 1982,1,1,Albion,0,0,0,0,0,1,0,0
Daily total,,,,0,0,0,0,0,1,0,0
Jun 21 1982,1,1,Albion,0,0,0,0,0,12,0,0
Jun 21 1982,1,2,Albion,0,0,0,0,0,13,0,0
Daily total,,,,0,0,0,0,0,25,0,0
Jun 23 1982,1,1,Albion,0,0,0,0,0,11,0,0
Jun 23 1982,1,2,Albion,0,0,0,0,0,8,0,0
Daily total,,,,0,0,0,0,0,19,0,0
Jun 25 1982,1,1,Albion,0,0,0,0,0,19,0,0
Jun 25 1982,1,2,Albion,3,0,0,0,0,5,0,0
Daily total,,,,3,0,0,0,0,24,0,0
Jun 28 1982,1,1,Albion,3,0,0,0,0,20,0,0
Jun 28 1982,1,2,Albion,2,0,0,0,0,4,0,0
Daily total,,,,5,0,0,0,0,24,0,0
Jun 30 1982,1,1,Albion,1,0,0,0,0,11,0,0
Jun 30 1982,1,2,Albion,3,0,0,0,0,1,0,0
Daily total,,,,4,0,0,0,0,12,0,0
Jul 02 1982,1,1,Albion,7,0,0,0,0,13,0,0
Jul 02 1982,1,2,Albion,6,0,0,0,0,16,0,0
Daily total,,,,13,0,0,0,0,29,0,0
Jul 05 1982,1,1,Albion,5,0,0,0,0,15,0,0
Jul 05 1982,1,2,Albion,3,0,0,0,0,4,0,0
Daily total,,,,8,0,0,0,0,19,0,0
Jul 07 1982,1,1,Albion,5,0,0,0,0,11,0,0
Daily total,,,,5,0,0,0,0,11,0,0
Jul 09 1982,1,1,Albion,6,0,0,0,0,15,0,0
Jul 09 1982,1,2,Albion,1,0,0,0,0,10,0,0
Daily total,,,,7,0,0,0,0,25,0,0
Jul 12 1982,1,1,Albion,4,0,0,0,0,14,0,0
Jul 12 1982,1,2,Albion,2,0,0,0,0,21,0,0
Daily total,,,,6,0,0,0,0,35,0,0
Jul 14 1982,1,1,Albion,2,0,0,0,0,19,0,0
Jul 14 1982,1,2,Albion,2,0,0,0,0,14,0,0
Daily total,,,,4,0,0,0,0,33,0,0
Jul 16 1982,1,1,Albion,3,0,0,0,0,9,0,0
Jul 16 1982,1,2,Albion,1,0,0,0,0,12,0,0
Daily total,,,,4,0,0,0,0,21,0,0
Jul 19 1982,1,1,Albion,1,0,0,0,0,1,0,0
Jul 19 1982,1,2,Albion,1,0,0,0,0,4,0,0
Daily total,,,,2,0,0,0,0,5,0,0
Jul 21 1982,1,1,Albion,1,0,0,0,0,15,0,0
Jul 21 1982,1,2,Albion,4,0,0,0,0,3,0,0
Daily total,,,,5,0,0,0,0,18,0,0
Jul 23 1982,1,1,Albion,2,0,0,0,0,25,0,0
Jul 23 1982,1,2,Albion,1,0,0,0,0,9,0,0
Daily total,,,,3,0,0,0,0,34,0,0
Jul 25 1982,1,1,Albion,3,0,0,0,0,6,0,0
Jul 25 1982,1,2,Albion,1,0,0,0,0,9,0,0
Daily total,,,,4,0,0,0,0,15,0,0
Jul 28 1982,1,1,Albion,0,0,0,0,0,9,0,0
Jul 28 1982,1,2,Albion,0,0,0,0,0,3,0,0
Daily total,,,,0,0,0,0,0,12,0,0
Jul 30 1982,1,1,Albion,1,0,0,0,0,8,0,0
Jul 30 1982,1,2,Albion,0,0,0,0,0,4,0,0
Daily total,,,,1,0,0,0,0,12,0,0
Aug 02 1982,1,1,Albion,6,0,0,0,0,15,0,0
Aug 02 1982,1,2,Albion,0,0,0,0,0,3,0,0
Daily total,,,,6,0,0,0,0,18,0,0
Aug 04 1982,1,1,Albion,0,0,0,0,0,6,0,0
Daily total,,,,0,0,0,0,0,6,0,0
Aug 06 1982,1,1,Albion,0,0,0,0,0,3,0,0
Aug 06 1982,1,2,Albion,2,0,0,0,0,3,0,0
Daily total,,,,2,0,0,0,0,6,0,0
Aug 09 1982,1,1,Albion,28,0,0,0,0,9,0,0
Aug 09 1982,1,2,Albion,28,0,0,0,0,6,0,0
Daily total,,,,56,0,0,0,0,15,0,0
Aug 10 1982,1,1,Albion,27,0,0,0,0,13,0,0
Aug 10 1982,1,2,Albion,38,0,0,0,0,3,0,0
Daily total,,,,65,0,0,0,0,16,0,0
Aug 13 1982,1,1,Albion,9,0,0,0,0,6,0,0
Aug 13 1982,1,2,Albion,10,0,0,0,0,6,0,0
Daily total,,,,19,0,0,0,0,12,0,0
Aug 15 1982,1,1,Albion,9,0,0,0,0,1,0,0
Aug 15 1982,1,2,Albion,6,0,0,0,0,5,0,0
Daily total,,,,15,0,0,0,0,6,0,0
Aug 17 1982,1,1,Albion,1,0,0,0,0,5,0,0
Aug 17 1982,1,2,Albion,1,0,0,0,0,0,0,0
Daily total,,,,2,0,0,0,0,5,0,0
Aug 19 1982,1,1,Albion,9,0,0,0,0,8,0,0
Aug 19 1982,1,2,Albion,2,0,0,0,0,5,0,0
Daily total,,,,11,0,0,0,0,13,0,0
Aug 22 1982,1,1,Albion,3,0,0,0,0,4,0,0
Aug 22 1982,1,2,Albion,3,0,0,0,0,0,0,0
Daily total,,,,6,0,0,0,0,4,0,0
Aug 25 1982,1,1,Albion,1,0,0,0,0,2,0,0
Aug 25 1982,1,2,Albion,4,0,0,0,0,6,0,0
Daily total,,,,5,0,0,0,0,8,0,0
Aug 27 1982,1,1,Albion,17,0,0,0,0,3,0,0
Aug 27 1982,1,2,Albion,18,0,0,0,0,3,0,0
Daily total,,,,35,0,0,0,0,6,0,0
